2025-04-10 18:40:00 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:40:03 [main] INFO  Log - Navigating to URL...
2025-04-10 18:40:04 [main] INFO  Log - Starting login test...
2025-04-10 18:40:04 [main] INFO  Log - Adding credentials
2025-04-10 18:40:05 [main] INFO  Log - Closing Browser...
2025-04-10 18:40:56 [main] INFO  Log - Fetch the Worksheet...
2025-04-10 18:40:56 [main] INFO  Log - Navigate to the Sheet...
2025-04-10 18:44:00 [main] INFO  Log - Fetch the Worksheet...
2025-04-10 18:44:00 [main] INFO  Log - Navigate to the Sheet...
2025-04-10 18:44:01 [main] INFO  Log - Enter crediantials...
2025-04-10 18:44:01 [main] INFO  Log - Enter crediantials...
2025-04-10 18:44:01 [main] INFO  Log - Enter crediantials...
2025-04-10 18:44:01 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:44:05 [main] INFO  Log - Navigating to URL...
2025-04-10 18:44:06 [main] INFO  Log - Starting login test...
2025-04-10 18:44:06 [main] INFO  Log - Adding credentials
2025-04-10 18:44:06 [main] INFO  Log - Closing Browser...
2025-04-10 18:44:07 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:44:09 [main] INFO  Log - Navigating to URL...
2025-04-10 18:44:11 [main] INFO  Log - Starting login test...
2025-04-10 18:44:11 [main] INFO  Log - Adding credentials
2025-04-10 18:44:11 [main] INFO  Log - Closing Browser...
2025-04-10 18:44:12 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:44:14 [main] INFO  Log - Navigating to URL...
2025-04-10 18:44:16 [main] INFO  Log - Starting login test...
2025-04-10 18:44:16 [main] INFO  Log - Adding credentials
2025-04-10 18:44:16 [main] INFO  Log - Closing Browser...
2025-04-10 18:44:56 [main] INFO  Log - Fetch the Worksheet...
2025-04-10 18:44:56 [main] INFO  Log - Navigate to the Sheet...
2025-04-10 18:44:57 [main] INFO  Log - Enter crediantials...
2025-04-10 18:44:57 [main] INFO  Log - Enter crediantials...
2025-04-10 18:44:57 [main] INFO  Log - Enter crediantials...
2025-04-10 18:44:57 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:45:01 [main] INFO  Log - Navigating to URL...
2025-04-10 18:45:02 [main] INFO  Log - Starting login test...
2025-04-10 18:45:02 [main] INFO  Log - Adding credentials
2025-04-10 18:45:02 [main] INFO  Log - Closing Browser...
2025-04-10 18:45:03 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:45:05 [main] INFO  Log - Navigating to URL...
2025-04-10 18:45:06 [main] INFO  Log - Starting login test...
2025-04-10 18:45:06 [main] INFO  Log - Adding credentials
2025-04-10 18:45:06 [main] INFO  Log - Closing Browser...
2025-04-10 18:45:06 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:45:09 [main] INFO  Log - Navigating to URL...
2025-04-10 18:45:10 [main] INFO  Log - Starting login test...
2025-04-10 18:45:10 [main] INFO  Log - Adding credentials
2025-04-10 18:45:11 [main] INFO  Log - Closing Browser...
2025-04-10 18:49:49 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:49:53 [main] INFO  Log - Navigating to URL...
2025-04-10 18:49:54 [main] INFO  Log - Starting login test...
2025-04-10 18:49:54 [main] INFO  Log - Adding credentials
